file	n_ex	numbering	ital_names	bold_names	tags	nested_subitems	inline_letter_marks	cites	xrefs
chapter_preface/index.md	3	repeated-1	0	0	-	0	0	0	0
chapter_introduction/index.md	4	repeated-1	0	0	-	0	0	0	0
chapter_preliminaries/autograd.md	8	repeated-1	0	0	-	0	1	0	0
chapter_preliminaries/calculus.md	11	repeated-1	0	0	-	0	0	0	0
chapter_preliminaries/linear-algebra.md	12	repeated-1	0	0	-	0	0	0	0
chapter_preliminaries/lookup-api.md	3	repeated-1	0	0	-	0	0	0	0
chapter_preliminaries/ndarray.md	6	repeated-1	0	0	-	0	0	0	0
chapter_preliminaries/pandas.md	7	repeated-1	0	0	-	0	0	0	0
chapter_preliminaries/probability.md	8	repeated-1	0	0	-	10	2	1	1
chapter_linear-regression/generalization.md	8	repeated-1	0	0	-	0	0	0	0
chapter_linear-regression/linear-regression-concise.md	6	repeated-1	0	0	-	2	0	0	3
chapter_linear-regression/linear-regression-scratch.md	12	mixed	0	4	-	3	0	0	0
chapter_linear-regression/linear-regression.md	8	repeated-1	0	0	-	19	3	1	2
chapter_linear-regression/oo-design.md	6	repeated-1	0	0	-	0	2	0	0
chapter_linear-regression/synthetic-regression-data.md	5	repeated-1	0	2	-	2	0	1	2
chapter_linear-regression/weight-decay.md	6	repeated-1	0	0	-	0	2	0	3
chapter_linear-classification/classification.md	7	repeated-1	0	0	-	0	0	0	3
chapter_linear-classification/environment-and-distribution-shift.md	6	repeated-1	0	0	-	0	0	0	4
chapter_linear-classification/generalization-classification.md	9	mixed	0	0	-	0	0	0	1
chapter_linear-classification/image-classification-dataset.md	3	repeated-1	0	0	-	0	0	0	0
chapter_linear-classification/softmax-regression-concise.md	4	repeated-1	0	0	-	0	0	0	1
chapter_linear-classification/softmax-regression-scratch.md	8	mixed	0	2	-	9	0	0	1
chapter_linear-classification/softmax-regression.md	9	repeated-1	0	0	-	25	4	2	3
