file	n_real	n_raw	bullet_items	discussions	slides_after
chapter_preface/index.md	3	3	0	tabbed(4):mxnet,pytorch,tensorflow,jax	yes
chapter_introduction/index.md	4	4	0	single-link	no
chapter_preliminaries/autograd.md	8	8	0	tabbed(4):mxnet,pytorch,tensorflow,jax	yes
chapter_preliminaries/calculus.md	11	11	0	tabbed(4):mxnet,pytorch,tensorflow,jax	yes
chapter_preliminaries/linear-algebra.md	12	12	0	tabbed(4):mxnet,pytorch,tensorflow,jax	yes
chapter_preliminaries/lookup-api.md	3	3	0	tabbed(4):mxnet,pytorch,tensorflow,jax	yes
chapter_preliminaries/ndarray.md	6	6	0	tabbed(4):mxnet,pytorch,tensorflow,jax	yes
chapter_preliminaries/pandas.md	7	7	0	tabbed(4):mxnet,pytorch,tensorflow,jax	yes
chapter_preliminaries/probability.md	8	8	0	tabbed(4):mxnet,pytorch,tensorflow,jax	yes
chapter_linear-regression/generalization.md	8	8	0	tabbed(4):mxnet,pytorch,tensorflow,jax	yes
chapter_linear-regression/linear-regression-concise.md	6	6	0	tabbed(4):mxnet,pytorch,tensorflow,jax	yes
chapter_linear-regression/linear-regression-scratch.md	12	12	0	tabbed(4):mxnet,pytorch,tensorflow,jax	yes
chapter_linear-regression/linear-regression.md	8	8	0	tabbed(3):mxnet,pytorch,tensorflow	yes
chapter_linear-regression/oo-design.md	6	6	0	tabbed(4):mxnet,pytorch,tensorflow,jax	yes
chapter_linear-regression/synthetic-regression-data.md	5	5	0	tabbed(4):mxnet,pytorch,tensorflow,jax	yes
chapter_linear-regression/weight-decay.md	6	6	0	tabbed(4):mxnet,pytorch,tensorflow,jax	yes
chapter_linear-classification/classification.md	7	7	0	tabbed(4):mxnet,pytorch,tensorflow,jax	yes
chapter_linear-classification/environment-and-distribution-shift.md	6	6	0	single-link	yes
chapter_linear-classification/generalization-classification.md	9	9	0	single-link	yes
chapter_linear-classification/image-classification-dataset.md	3	3	0	tabbed(4):mxnet,pytorch,tensorflow,jax	yes
chapter_linear-classification/softmax-regression-concise.md	4	4	0	tabbed(4):mxnet,pytorch,tensorflow,jax	yes
